Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
Fossicker Caravan Park,Glen Innes,Standard Powered Site with Shared Bathroom (Bring your own Caravan/Tent),46,7.3,216
K2 River Island Nature Retreat,Barrallier,Unpowered Camping Site,49,9.6,5
Bellbird Hotel,Cessnock,Twin Room,64,6.9,269
T Room,Dundas Valley,Double Room,69,N/A,N/A
Boorowa Hotel,Boorowa,Twin Room,70,7.8,178
Cockatoo Island Accommodation,Sydney,Unpowered Camping Site (Guest to provide own Tent and Camping gear),70,8.5,143
Meralda Station,Cobar,"Main Campground Site (Camping, no bed provided)",71,6.7,9
Royal Hotel Singleton,Singleton,Double Room with Shared Bathroom,73,7.3,622
Peaceful Room in Modern Baulkham Hills Home - BH3,Baulkham Hills,Standard Double Room,66,6.6,5
Royal Hotel Orange,Orange,Double or Twin Room with Shared Bathroom,75,6.5,830
Exchange Hotel Goulburn,Goulburn,Standard Twin Room,75,5.1,337
Palm and Pawn Motor Inn,North Wagga,Double Room,78,6.8,729
32 Room,Epping,Double Room,78,N/A,N/A
33 Room,Epping,Double Room,78,7.0,1
30 Room,Epping,Double Room,78,N/A,N/A
Spacious Queen Room in Large Merrylands Home with Sofa Bed - M2,Merrylands,Deluxe Double Room with Extra Bed,80,10,2
The Woolpack Hotel,Mudgee,Basic Triple Room with Shared Bathroom,80,8.1,808
New Crown Hotel Motel,Hay,Queen Room,80,7.8,1552
Bayview Hotel Woy Woy,Woy Woy,Standard Queen Room with Shared Bathroom,80,7.0,1507
Gunnedah Hotel,Gunnedah,Queen Room with Shared Bathroom,80,7.0,383
Jetty Blue Backpackers,Coffs Harbour,Mixed Dormitory Room,80,7.5,200
Royal Hotel Motel Scone,Scone,Budget Double or Twin Room,80,4.9,532
The Exchange Hotel Blayney,Blayney,Standard Double Room with Shared Bathroom,80,5.7,28
Seven Seas Hotel,Carrington,Queen Room with Shared Bathroom,83,7.8,320
Comfortable Room in Cozy Home - E2,"Ryde, Sydney",Queen Room,84,2.5,2
Cozy Queen Room in Spacious Home in Merrylands - M3,Merrylands,Standard Queen Room,85,6.0,3
Quiet Room with Air Conditioning - E4,"Ryde, Sydney",Standard Queen Room,85,2.0,1
V Room,Dundas Valley,Double Room,85,N/A,N/A
Y Room,Dundas Valley,Double Room,85,N/A,N/A
0 Dream Room,Northmead,Double Room,85,N/A,N/A
36 Room,Epping,Double Room,85,N/A,N/A
Lake Mulwala Hotel,Mulwala,Queen Room,85,8.1,375
Shortland Budget Accommodation,Jesmond,Budget Double Room with Shared Bathroom,85,6.5,376
Beachside Backpackers,Port Macquarie,Double Room with Shared Bathroom (G),85,8.6,465
Highlander Van Village,Armidale,Standard Studio,85,7.5,151
Coachstop Caravan Park,Maitland,Budget Double Room,85,6.9,136
5 Warm Room,Northmead,Double Room,86,N/A,N/A
Villa in Worrowing Heights,Worrowing Heights,One-Bedroom Villa,86,N/A,N/A
Lockhart Railway Hotel,Lockhart,N/A,N/A,6.8,13
ibis Budget - Campbelltown,Campbelltown,Standard Queen Room,86,6.9,2239
Cozy Queen Room in Spacious House with Great Location - M4,Merrylands,Standard Queen Room,86,5.0,2
Spacious Room in Quiet and Cozy Home - E1,"Ryde, Sydney",Superior Queen Room,86,1.0,1
Motel 359,Tamworth,Double or Twin Room,86,7.4,1632
Amaroo Hotel Dubbo,Dubbo,Double Room,87,6.1,592
Lambton Park Hotel,Lambton,Budget Double Room,84,7.9,167
Cozy Room in Spacious Two Story Home - GA,Holroyd,Double Room with Garden View,88,3.5,4
Twin Room in Spacious Two Story Home Ideal for Friends or Travellers - GD,Holroyd,Standard Twin Room,88,10,1
Broken Hill Tourist Lodge,Broken Hill,Twin Room with Shared Bathroom,89,7.6,707
Tabourie Lake Motor Inn,Ulladulla,Standard Queen Room,89,6.2,706
Swansea Hotel,Swansea,Double Room with Shared Bathroom,89,6.5,333
ibis Budget - Newcastle,Newcastle,Standard Queen Room,89,5.6,3377
Laurieton Hotel,Laurieton,Double Room,90,6.5,777
Northern Star Hotel,Hamilton,Double Room with Shared Bathroom,90,8.3,307
The Exchange Hotel,Kyogle,Double Room,90,7.7,33
Australian Hotel Motel Yass,Yass,Double Room with Shared Bathroom,90,6.4,77
The Middle Pub,Mullumbimby,Queen Room,90,7.2,848
Culcairn Hotel,Culcairn,Deluxe Queen Room,90,6.7,8
Coffs Harbour Hotel,Coffs Harbour,Queen Room,90,5.7,195
Hotel Cessnock,Cessnock,Double Room - Shared Bathroom,90,7.2,360
The Greenroof,Newcastle,Double Room with Shared Bathroom,90,7.7,379
ibis Budget Coffs Harbour,Coffs Harbour,Standard Queen Room,90,5.4,3616
Comfortable Queen Room in Quiet House - E3,"Ryde, Sydney",Standard Queen Room,86,3.3,3
Pad Hostel,"Sydney Eastern Suburbs, Sydney",Bed in 6-Bed Mixed Dormitory Room,91,7.7,57
The Great Western Hotel,Orange,Budget Double Room,92,8.0,372
HISTORIC STAR LODGE and STATION MASTERS HOUSE NARRANDERA,Narrandera,STAR ROOM 1,92,8.7,713
The Middle,Adelong,Double Room with Shared Bathroom,93,7.8,54
Huge Studio Room in Spacious Merrylands House M1,Merrylands,Family Studio,93,4.8,10
Empire Hotel Goulburn,Goulburn,Double Room with Private Bathroom,94,6.7,252
ibis Budget - Enfield,Sydney,Standard Queen Room,94,6.1,2519
Imperial Hotel Coonabarabran,Coonabarabran,Double Room with Shared Bathroom,94,6.9,181
Spacious Queen Room with Private Balcony - M5,Merrylands,Superior Queen Room,94,5.0,3
The Lakes Hotel,The Entrance,Budget Double Room with Shared Bathroom,90,7.7,1366
Bali Hi Motel,Tuncurry,Double Room,95,8.3,1121
Gateshead Tavern & Motel,Charlestown,Double Room,95,7.6,967
Nags Head Hotel,Newcastle,Queen Room with Shared Bathroom Comfort,95,8.2,550
Rod 'N' Reel Hotel Motel Woodburn,Woodburn,Double Room with Shared Bathroom,95,7.1,124
Highway Tourist Village,Narrabri,Small Double Room,95,7.7,278
Courthouse Hotel Gunnedah,Gunnedah,Queen Room,86,6.2,30
7 Hopeful Room,Northmead,Double Room,96,N/A,N/A
3 Beautiful Room,Northmead,Double Room,96,N/A,N/A
Royal Hotel Guyra,Guyra,Queen Room,97,6.6,47
Discovery Parks - Jindabyne,Jindabyne,Economy Cabin (No Bathroom & Kitchen),97,8.7,2124
35 Room,Epping,Double Room,97,N/A,N/A
34 Room,Epping,Double Room,97,N/A,N/A
31 Room,Epping,Double Room,97,N/A,N/A
The Entrance Backpackers,The Entrance,Bed in 8-Bed Mixed Dormitory Room,98,8.6,59
Dubbo Budget Stay,Dubbo,Standard Queen Room,99,7.2,133
The Astor Hotel Motel,Goulburn,Double Room,99,7.0,1951
Pacific Hotel Yamba,Yamba,"Budget Bunk Room with Shared Bathroom, No ensuite 18+ Adults Only",99,7.9,1013
Bateau Bay Hotel,Bateau Bay,Superior Double Room,99,6.8,203
Newell Motor Inn Narrandera,Narrandera,Queen Room,99,8.2,595
Kyogle Commercial Hotel,Kyogle,Queen Room with Shared Bathroom,99,8.2,37
Clubhouse Hotel Yass,Yass,Twin Room with Shared Bathroom,99,6.8,47
Alfa motel,Gilgandra,Queen Room,99,7.9,150
Bat and Ball Hostel,Sydney,Bed in 6-Bed Mixed Dormitory Room,99,7.7,48
Kellys Top Pub,Aberdeen,Double Room,100,8.0,7
Hunter Valley Travellers Rest Motel,Cessnock,Double Room,100,7.5,610
The Royal Mail Hotel Braidwood,Braidwood,Economy Twin Room,100,8.2,599
Harrington Hotel,Harrington,King Room,100,7.7,456
Wentworth Central Motor Inn,Wentworth,Double Room,100,8.1,41
Royal Hotel Oberon,Oberon,Double Room,100,8.0,403
Bayview Motor Inn,Eden,Budget Queen Room,100,7.4,160
The Beach Arrawarra,Arrawarra,Powered Campsite,100,5.3,40
The Paragon Hotel,Mudgee,Triple Room with Shared Bathroom,100,8.0,687
Riders’ Rest Nundle,Nundle,Twin Room,100,9.2,102
Jackaroo Apartments,Moree,Queen Room,100,7.1,422
Seascape Studio,Tomakin,One-Bedroom House,100,10,2
JJ BednBath,Punchbowl,Family Room,100,3.5,2
1 Sunshine Room,Northmead,Double Room with Private Bathroom,101,N/A,N/A
Pilliga Pottery Creative Farmstay,Coonabarabran,The Farmhouse 3 - Shared Bathroom,101,8.4,173
Melton Hotel Auburn,Sydney,Economy Twin Room with Shared Bathroom,101,6.8,425
Gold Mine Guest House and Cafe,Nundle,Gold Nugget Room,102,8.6,202
YHA Thredbo,Thredbo,Twin Room with Shared Bathroom,102,8.6,324
George IV Inn,Picton,Queen Room,102,6.0,98
Bellingen Belfry Guesthouse,Bellingen,Double Room with Shared Bathroom,102,8.2,516
Hideaway Motor Inn,Armidale,Budget Queen Room,103,8.3,1088
Riverina hotel,Holbrook,Budget Double Room,94,7.2,392
Shamrock Hotel Motel Temora,Temora,Economy Twin Room,104,7.1,286
Metropolitan Hotel,Orange,Double Room with Shared Bathroom,104,7.3,180
"Large, Family Room with Spacious, Private Balcony - GE",Holroyd,Family Room with Balcony,104,7.4,5
Commercial Hotel Lockhart,Lockhart,Double Room with Shared Bathroom,104,7.7,32
Royal Hotel Ryde,"Ryde, Sydney",Queen Room with Shared Bathroom,104,7.0,490
Countryman Motor Inn Cowra,Cowra,Deluxe Queen Room,104,6.9,424
Padstow Park Hotel,Padstow,Double Room with Shared Bathroom,104,7.9,155
Stay @ Ray's,West Wyalong,Double Room with Shared Bathroom,104,7.8,12
Central Jetty Motel,The Entrance,Superior King Room,105,6.0,659
Ibis Budget - Casula Liverpool,Liverpool,Standard Triple Room with Queen Bed and Bunk Bed Above,105,6.9,1985
Peppercorn motor inn,Narromine,Budget Double Room,105,6.8,303
Coro Club Motel,Griffith,Standard Double Room,105,8.6,759
